pitcher,avgeffectvelo,avgvelo,avgspinrate,avgvertbreak,avghorzbreak
"Morrissette, Wagner",86.19985,88.1215175,2241.0733530000000,-19.210285,12.3642275
"Goodwin, Sean",86.74665083333330,87.9296925,2276.2816578333300,-17.612755833333300,15.002360833333300
"Cook, Jeremy",86.18937857142860,87.88548857142860,2074.9415877142900,-20.88415714285710,-10.483227142857100
"Heine, Dylan",86.09835571428570,87.70643857142860,2031.378906285710,-18.768765714285700,11.064128571428600
"Perry, Tanner",87.78391830188680,87.66846867924530,2318.522246716980,-19.225228490566000,6.573361320754720
"Cheeley, Austin",86.12441000000000,87.52465,2100.9721020000000,-20.74636333333330,8.80049
"Alba, Miguel",84.21094166666670,87.50175759259260,2077.3984095185200,-19.653345925925900,10.594516111111100
"Ornido, Riley",87.31823785714290,87.4621657142857,2174.2481969285700,-17.514769285714300,6.357253571428570
"Fitzpatrick, Karter",87.71817230769230,87.41810948717950,1947.1489956410300,-21.308998974359000,1.1783005128205100
"Orr, Dillon",85.44287083333330,87.37585750000000,2249.4156395000000,-17.677251666666700,9.8241625
"Olson, Mason",86.12495000000000,87.349615,2267.6540405000000,-26.308125,-10.232015
"Czerniawski, Zachary",85.45331068965520,87.19574068965520,2296.7260044137900,-23.538614137931000,8.592191379310350
"Laux, Brandon",86.130395,87.15978562500000,2194.4057555625,-16.66360375,6.178665625
"Tonas, Angelo",85.10914142857140,87.14243714285710,2149.073249857140,-23.52674285714290,-9.831621428571430
"Ramos, Jean Paul",85.01328333333330,87.12650148148150,2023.6577572222200,-20.140783333333300,9.196042222222220
"Galatas, Nikelle",85.46298375,87.10273140625,2145.098299265630,-18.665421875,11.65983703125
"Wojtarowicz, Andre",84.06627535714290,86.882555,2165.0628250714300,-21.77700821428570,-6.340335357142860
"Murphy, Shane",85.28953207547170,86.84851849056610,2072.960870433960,-17.574039433962300,-6.327304528301890
"Harris, Antoine",86.69610772727270,86.81856363636370,1928.5631430909100,-21.802281818181800,4.760519090909090
"Jarvis Jr., Evans",84.88706913043480,86.71046304347830,2139.8196279565200,-18.564736086956500,-10.312634347826100
"Keller, Dave",84.71486611111110,86.49111055555560,2199.797868,-22.846745000000000,7.9544122222222200
"Cox, Brennan",84.24786964285710,86.44976285714290,2315.3618017857100,-22.09912392857140,-10.116470357142900
"Kane, Thomas",83.9580225,86.18912500000000,1874.18607175,-23.8405725,-7.3303025
"Qin, Zimo",84.42258000000000,86.00723000000000,1886.577859,-17.570788888888900,-4.233155555555560
"McMahon, Ian",82.31848800000000,84.647774,2131.1414526,-21.653776,-9.64751
