pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"García, Edgar",23,88.3,87.81739130434780,1671.6521739130400,11.994782608695700,-6.40173913043478
"Brennan, Brandon",59,82.18983050847460,83.1186440677966,1670.8813559322000,16.092203389830500,-6.628474576271190
"Díaz, Edwin",1,94.7,93.4,1669.0,18.36,-5.04
"Castano, Daniel",142,81.25704225352110,81.29647887323940,1668.9647887323900,-10.943661971831000,-11.532676056338000
"Ramírez, Erasmo",48,85.17083333333330,84.56666666666670,1668.9375,12.822500000000000,-6.250000000000000
"Hentges, Sam",6,89.10000000000000,88.38333333333330,1668.5,-10.6,-10.66
"Diekman, Jake",9,87.44444444444440,87.47777777777780,1667.2222222222200,-15.666666666666700,-5.946666666666670
"Keller, Mitch",98,88.53673469387760,89.73469387755100,1667.1030927835100,13.726530612244900,-8.556734693877550
"Weathers, Ryan",123,85.86747967479680,86.5926829268293,1667.0081300813000,-11.049756097561000,-11.225365853658500
"Sherfy, Jimmie",2,88.1,88.2,1667.0,14.76,-7.98
"Leibrandt, Brandon",18,78.38888888888890,82.45000000000000,1666.764705882350,-13.613333333333300,-11.240000000000000
"Gomber, Austin",401,83.75162094763090,83.11147132169580,1665.8696741854600,-10.006982543640900,-11.348528678304200
"Garza, Justin",41,84.35365853658540,85.03170731707320,1665.5853658536600,15.266341463414600,-7.074146341463420
"Anderson, Ian",1041,88.3502401536984,87.89538904899140,1665.5832531280100,10.190662824207500,-12.097060518732000
"Devenski, Chris",110,80.54909090909090,80.91818181818180,1665.2454545454500,14.706545454545500,-4.246909090909090
"Detwiler, Ross",67,84.38358208955230,85.29402985074620,1665.0298507462700,-12.666268656716400,-7.950447761194030
"Cessa, Luis",168,86.96190476190480,87.6625,1664.0,13.038571428571400,-5.810714285714290
"Milone, Tommy",342,76.50146198830410,78.20058479532160,1663.3014925373100,-14.888070175438600,-8.568421052631580
"McCarthy, Kevin",23,82.08695652173910,81.13913043478260,1662.0,14.12869565217390,-7.653913043478260
"Gutierrez, Vladimir",224,82.16607142857150,81.42500000000000,1660.450892857140,12.772500000000000,-9.18160714285714
"Falter, Bailey",32,83.15937500000000,83.66250000000000,1658.625,-8.81625,-14.9475
"Teheran, Julio",70,82.19142857142860,81.94714285714290,1658.0,15.020571428571400,-8.542285714285720
"Neidert, Nick",97,82.08659793814430,83.51546391752580,1657.5104166666700,15.74103092783510,-8.255257731958760
"Wood, Hunter",5,84.48,85.76000000000000,1657.4,11.688000000000000,-9.144
"Smeltzer, Devin",125,71.7936,80.29040000000000,1655.7589285714300,-12.76416,-3.57024
"Butera, Drew",1,69.7,70.6,1655.0,14.04,-8.64
